terms,effects,isFixed
CG_1,137.67466071310042,1
CG_2,147.0030885477066,1
Sire_2,-1.550464812834745,0
Sire_4,0.08620140313819541,0
Sire_8,-0.6559917679790406,0
Sire_1,2.7511147284529187,0
Sire_3,0.4193045732310272,0
Sire_5,1.6317366270178797,0
Sire_6,-0.30919851960698136,0
Sire_7,1.3880671346762397,0
Sire_10,-0.5971962577042181,0
Sire_9,1.5864438692770817,0
Sire*Dam_1 * 3,3.4400133567319227,0
Sire*Dam_2 * 3,-3.670653737652941,0
Sire*Dam_1 * 4,-2.1878359176587425,0
Sire*Dam_2 * 4,2.4621556807922897,0
Animal_2,-1.0726814876534505,0
Animal_4,0.6619585631949347,0
Animal_8,7.661225359532803,0
Animal_1,1.5096381497067421,0
Animal_3,-0.406058474184304,0
Animal_5,6.422429264487773,0
Animal_6,-4.770929741125644,0
Animal_7,-1.142994898953023,0
Animal_10,-5.153720104571057,0
Animal_9,-1.7885206102164004,0
