terms,effects,isFixed
CG_1,134.21256227226294,1
CG_2,147.64734526901245,1
Animal_1,7.268767741565731,0
Animal_4,-0.017758032880188013,0
Animal_8,9.71515626402402,0
Animal_3,0.7674915518195393,0
Animal_5,11.418406805707635,0
Animal_2,-6.733678568828442,0
Animal_6,-6.555137156641288,0
Animal_7,0.587684384408902,0
Animal_10,-6.412378775958944,0
Animal_9,0.9483605604362462,0
Sire_1,3.3632298900744297,0
Sire_4,0.001549228114505839,0
Sire_8,1.7882520992809454,0
Sire_3,0.3004791960115539,0
Sire_5,2.0139916639322877,0
Sire_2,-0.2571630951508062,0
Sire_6,0.16926315396709302,0
Sire_7,1.8488508062788183,0
Sire_10,-0.1249290635237473,0
Sire_9,1.9417410098943397,0
