terms,effects,isFixed
Animal_2,24.526443014260238,0
Animal_4,26.456272539976258,0
Animal_8,42.705605529785345,0
Animal_1,26.986712418913807,0
Animal_3,25.63248594590724,0
Animal_5,41.89631335124966,0
Animal_6,27.997957828640935,0
Animal_7,31.474710440063454,0
Animal_10,29.930328606581686,0
Animal_9,33.01894224891673,0
Sire_2,47.95867635917679,0
Sire_4,0.38311659229919387,0
Sire_8,24.245440804260994,0
Sire_1,53.623068873977715,0
Sire_3,0.05049240465477406,0
Sire_5,26.794921113127426,0
Sire_6,24.02385542926483,0
Sire_7,27.052079960134666,0
Sire_10,24.323811086614434,0
Sire_9,26.837949731952033,0
CG_2,55.94822391624444,0
CG_4,0.35325510389126813,0
CG_8,28.136413430356935,0
CG_1,45.60631441135417,0
CG_3,-0.2755381348077665,0
CG_5,22.556214286571763,0
CG_6,27.880201124083637,0
CG_7,23.041351911144325,0
CG_10,28.175394809019544,0
CG_9,22.637129925368747,0
