terms,effects,isFixed
CG_1,137.20645821113564,1
CG_2,151.20416015281697,1
Sire_2,-2.8470227031713025,0
Sire_4,-0.565960538109624,0
Sire_8,-1.725071566905664,0
Sire_1,3.2502163564891458,0
Sire_3,-0.03474471649651089,0
Sire_5,1.5301956776140286,0
Sire_6,-1.4923589454289072,0
Sire_7,1.126181741460971,0
Sire_10,-1.74799502587311,0
Sire_9,1.6116005632893162,0
Animal_2,-1.7130627585226366,0
Animal_4,-0.22374116867895016,0
Animal_8,6.934817355174471,0
Animal_1,1.34238470566696,0
Animal_3,-0.39015988872302665,0
Animal_5,8.071875043051215,0
Animal_6,-5.760578349277024,0
Animal_7,-2.421687174832888,0
Animal_10,-5.694346265127132,0
Animal_9,-2.603504233556133,0
